mutation_type,edge_weight,capacity_delta_mw,turbine_dispersion_stddev,parent_rank,round_idx,project_id,scenario_id,feasible,total_route_length_m,evaluation.rank,evaluation.lifecycle_cost
FEEDER_SWAP,290.80017831340757,0.0,26.0616126573543,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-032,True,14413.998500401047,33,2162687.81
FEEDER_REASSIGNMENT,306.11494379344754,5.0,25.5599829306373,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-033,True,14457.440305256,28,2161330.88
FEEDER_SWAP,306.11494379344754,0.0,25.5599829306373,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-034,True,14389.323169520789,26,2152158.65
EDGE_RECONNECT,1261.8938165554434,0.0,52.12322531469043,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-035,True,14458.322658640522,39,2165681.41
FEEDER_SWAP,319.8883226722267,0.0,64.91802908821222,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-036,True,14451.44232510772,37,2160120.76
EDGE_RECONNECT,384.1052436509785,0.0,71.39487156368737,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-037,True,14472.944472669747,38,2168701.94
FEEDER_SWAP,321.7514449660872,0.0,83.088534547422,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-038,True,14307.301588151904,31,2138970.82
EDGE_RECONNECT,1455.6466283260916,0.0,1.81678538579217e-11,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-039,True,14484.13647170193,40,2169867.14
FEEDER_REASSIGNMENT,349.1128281608976,5.0,25.5599829306373,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-040,True,14444.678576635853,27,2162852.27
EDGE_RECONNECT,1141.9371399396694,0.0,265.0770741023451,1.0,1,SYN-4-SPREAD-30,SCN-S1-001,True,32046.54733107701,5,4803228.05
EDGE_RECONNECT,912.5434977883912,0.0,89.09340149613207,1.0,1,SYN-4-SPREAD-30,SCN-S1-002,True,32053.662040804214,6,4804089.12
EDGE_RECONNECT,2020.7283030377341,0.0,212.24085263977636,1.0,1,SYN-4-SPREAD-30,SCN-S1-003,True,32056.14332324157,8,4804590.02
EDGE_RECONNECT,497.61645646063005,0.0,265.0770741023451,1.0,1,SYN-4-SPREAD-30,SCN-S1-004,True,32058.570897446785,23,4814152.78
EDGE_RECONNECT,788.8754934697172,0.0,144.89394109641168,1.0,1,SYN-4-SPREAD-30,SCN-S1-005,True,32066.706624393482,2,4802316.06
EDGE_RECONNECT,497.61645646063005,0.0,265.0770741023451,1.0,1,SYN-4-SPREAD-30,SCN-S1-006,True,32072.38894689559,20,4809505.0
FEEDER_SWAP,89.651603509698,0.0,112.01022982104504,1.0,1,SYN-4-SPREAD-30,SCN-S1-007,True,32241.97776523986,14,4832874.97
EDGE_RECONNECT,1844.6963131892808,0.0,134.92705814595803,1.0,1,SYN-4-SPREAD-30,SCN-S1-008,True,32162.54827002283,9,4821449.22
EDGE_RECONNECT,427.10683531033004,0.0,180.32614520974832,1.0,1,SYN-4-SPREAD-30,SCN-S1-009,True,32169.767433806373,27,4822688.64
EDGE_RECONNECT,2213.836988988647,0.0,134.92705814595803,1.0,1,SYN-4-SPREAD-30,SCN-S1-010,True,32194.395592974295,22,4831606.6
EDGE_RECONNECT,691.1616308597754,0.0,180.32614520974832,1.0,1,SYN-4-SPREAD-30,SCN-S1-011,True,32198.64823275838,21,4827498.6
EDGE_RECONNECT,904.2732936010037,0.0,501.84177031523717,1.0,1,SYN-4-SPREAD-30,SCN-S1-012,True,32199.087248297128,10,4822986.55
EDGE_RECONNECT,427.10683531033004,0.0,180.32614520974832,1.0,1,SYN-4-SPREAD-30,SCN-S1-013,True,32214.98582032242,7,4824815.07
EDGE_RECONNECT,1391.2823193804643,0.0,501.84177031523717,1.0,1,SYN-4-SPREAD-30,SCN-S1-014,True,32285.29099369883,12,4833341.9
EDGE_RECONNECT,1296.0948059173522,0.0,144.89394109641168,1.0,1,SYN-4-SPREAD-30,SCN-S1-015,True,32324.532039856953,15,4832198.07
EDGE_RECONNECT,4477.181173844274,0.0,180.32614520974832,1.0,1,SYN-4-SPREAD-30,SCN-S1-016,True,32330.03117247351,26,4844146.21
EDGE_RECONNECT,702.6038829876394,0.0,212.24085263977636,1.0,1,SYN-4-SPREAD-30,SCN-S1-017,True,32333.603848635044,19,4845293.15
EDGE_RECONNECT,1027.95569219206,0.0,89.09340149613207,1.0,1,SYN-4-SPREAD-30,SCN-S1-018,True,32340.84715582954,18,4845229.46
EDGE_RECONNECT,702.6038829876394,0.0,212.24085263977636,1.0,1,SYN-4-SPREAD-30,SCN-S1-019,True,32381.619981673393,16,4848910.08
EDGE_RECONNECT,4701.781182589069,0.0,6.889314493911016e-11,1.0,1,SYN-4-SPREAD-30,SCN-S1-020,True,32400.797012720854,25,4855304.99
FEEDER_SWAP,401.71160449987104,0.0,112.01022982104504,1.0,1,SYN-4-SPREAD-30,SCN-S1-021,True,32535.681989771703,24,4868991.29
EDGE_RECONNECT,868.4584428992173,0.0,212.24085263977636,1.0,1,SYN-4-SPREAD-30,SCN-S1-022,True,32442.60560581568,28,4860534.53
FEEDER_SWAP,478.8147749154831,0.0,204.98550759937837,1.0,1,SYN-4-SPREAD-30,SCN-S1-023,True,32552.827647454185,11,4868220.66
EDGE_RECONNECT,788.8754934697172,0.0,144.89394109641168,1.0,1,SYN-4-SPREAD-30,SCN-S1-024,True,32559.24222469942,35,4876024.09
EDGE_RECONNECT,2195.463720881579,0.0,89.09340149613207,1.0,1,SYN-4-SPREAD-30,SCN-S1-025,True,32568.550964671023,31,4874422.39
EDGE_RECONNECT,904.2732936010037,0.0,501.84177031523717,1.0,1,SYN-4-SPREAD-30,SCN-S1-026,True,32584.54712306958,29,4872199.9
EDGE_RECONNECT,1230.6185713583773,0.0,144.89394109641168,1.0,1,SYN-4-SPREAD-30,SCN-S1-027,True,32600.95506020337,34,4873662.66
FEEDER_SWAP,614.6582345464084,0.0,204.98550759937837,1.0,1,SYN-4-SPREAD-30,SCN-S1-028,True,31765.991296657383,1,4766828.88
FEEDER_SWAP,653.6994139627625,0.0,318.3844142305976,1.0,1,SYN-4-SPREAD-30,SCN-S1-029,True,32877.468112693205,36,4917308.41
FEEDER_SWAP,727.7394386919962,0.0,204.98550759937837,1.0,1,SYN-4-SPREAD-30,SCN-S1-030,True,32066.706624393482,3,4802316.06
EDGE_RECONNECT,3731.3980033906555,0.0,501.84177031523717,1.0,1,SYN-4-SPREAD-30,SCN-S1-031,True,32779.572633720265,38,4910973.16
FEEDER_SWAP,781.4751573559472,0.0,318.3844142305976,1.0,1,SYN-4-SPREAD-30,SCN-S1-032,True,32925.013097381474,39,4925531.33
EDGE_RECONNECT,912.5434977883912,0.0,89.09340149613207,1.0,1,SYN-4-SPREAD-30,SCN-S1-033,True,32818.8657907849,32,4903580.49
FEEDER_SWAP,791.857677010516,0.0,112.01022982104504,1.0,1,SYN-4-SPREAD-30,SCN-S1-034,True,32099.20468487583,13,4812272.52
EDGE_RECONNECT,1714.111291360828,0.0,265.0770741023451,1.0,1,SYN-4-SPREAD-30,SCN-S1-035,True,32855.464564927635,30,4910371.96
FEEDER_SWAP,891.109979795992,0.0,112.01022982104504,1.0,1,SYN-4-SPREAD-30,SCN-S1-036,True,32477.797008419042,33,4871893.38
FEEDER_SWAP,949.3600202874275,0.0,357.0413114775068,1.0,1,SYN-4-SPREAD-30,SCN-S1-037,True,33153.100456509375,37,4956899.01
FEEDER_SWAP,964.869164010738,0.0,112.01022982104504,1.0,1,SYN-4-SPREAD-30,SCN-S1-038,True,32975.54416014165,40,4925425.32
FEEDER_SWAP,971.1065961753685,0.0,204.98550759937837,1.0,1,SYN-4-SPREAD-30,SCN-S1-039,True,32320.399025783747,17,4837874.33
FEEDER_SWAP,988.5718228734735,0.0,112.01022982104504,1.0,1,SYN-4-SPREAD-30,SCN-S1-040,True,32976.70665023129,41,4925542.89
EDGE_RECONNECT,855.3281598285704,0.0,156.18012015206136,1.0,1,SYN-5-MIXED-40,SCN-S1-001,True,34766.34729618217,3,5277291.33
EDGE_RECONNECT,922.6512510114061,0.0,548.919943110232,1.0,1,SYN-5-MIXED-40,SCN-S1-002,True,34767.50998565067,13,5288278.71
EDGE_RECONNECT,287.55530409725844,0.0,163.1945140173457,1.0,1,SYN-5-MIXED-40,SCN-S1-003,True,34819.9244505929,11,5288194.67
EDGE_RECONNECT,599.2729882708911,0.0,92.5836095062738,1.0,1,SYN-5-MIXED-40,SCN-S1-004,True,34820.78331908675,9,5287322.38
EDGE_RECONNECT,1913.900382708347,0.0,414.04196967793285,1.0,1,SYN-5-MIXED-40,SCN-S1-005,True,34827.135137150224,7,5288009.1
EDGE_RECONNECT,497.92537160668974,0.0,45.832305357194286,1.0,1,SYN-5-MIXED-40,SCN-S1-006,True,34834.69516946814,16,5291774.44
EDGE_RECONNECT,465.82405068651263,0.0,214.58354549379214,1.0,1,SYN-5-MIXED-40,SCN-S1-007,True,34839.04904345043,8,5289499.61
EDGE_RECONNECT,1687.5604279594525,0.0,214.58354549379214,1.0,1,SYN-5-MIXED-40,SCN-S1-008,True,34839.25627043196,18,5290612.04
EDGE_RECONNECT,1204.4319342027197,0.0,185.77537165243788,1.0,1,SYN-5-MIXED-40,SCN-S1-009,True,34841.89934119712,4,5285280.39
